sample_index,publication_id,reference_id,reference_order,source_doi,hidden_doi,parser,parsed_title,parsed_journal,parsed_year,parsed_authors,query_mode,query,trdizin_title_status,trdizin_id,target_doi,target_crossref_status,target_crossref_doi,target_title,target_year,target_journal,target_journal_code,target_doc_type,confidence,title_similarity,title_coverage,title_token_count,year_match,journal_similarity,author_coverage,self_match,context
2180,1258308,20440384,14,,,apa,Rally or repeat the mistakes: The impact of new starting point thinking and brand crisis types on consumer forgiveness. Nankai Manag,Rev,2020,"Chen, S",,,no_match,,,,,,,,,,,,,,,,,,"Chen, S. Y., Wei, H. Y., Ran, Y. X., & Meng, L. (2020). Rally or repeat the mistakes: The impact of new starting point thinking and brand crisis types on consumer forgiveness. Nankai Manag. Rev, 23(4), 49- 58."
2186,1244514,19847565,67,,,apa,Pseudomonas stutzeri RP1: a versatile plant growth promoting endorhizospheric bacteria inhabiting sunflower (Helianthus annuus),Journal of Biotechnology,2013,"Pandey, R., Chavan, P",,,no_match,,,,,,,,,,,,,,,,,,"Pandey, R., Chavan, P. N., Walokar, N. M., Sharma, N., Tripathi, V., Khetmalas, M.B. (2013). Pseudomonas stutzeri RP1: a versatile plant growth promoting endorhizospheric bacteria inhabiting sunflower (Helianthus annuus). Journal of Biotechnology, 8(7), 48-55."
2203,1271868,21017295,4,,,apa,Effects of organic chromium on performance in poultry,Turkish Food Manufacturers’ Association [Journal,2021,"Aydın, T., & Şehu, A",,,no_match,,,,,,,,,,,,,,,,,,"Aydın, T., & Şehu, A. (2021). Effects of organic chromium on performance in poultry. Turkish Food Manufacturers’ Association [Journal], 90, 49–56."
2221,1232129,19366070,11,,,apa,Otel Mutfak Çalışanları Mesleki Eğitim Seviyeleri Ve Kariyer Hedeflerinin Ölçülmesi: Kış Koridoru Analizi,Yorum Yönetim Yöntem Uluslararası Yönetim Ekonomi ve Felsefe Dergisi,2017,"Denk, E",,,no_match,,,,,,,,,,,,,,,,,,"Denk, E. ve Koşan, A. (2017). Otel Mutfak Çalışanları Mesleki Eğitim Seviyeleri Ve Kariyer Hedeflerinin Ölçülmesi: Kış Koridoru Analizi. Yorum Yönetim Yöntem Uluslararası Yönetim Ekonomi ve Felsefe Dergisi, 5(1), 55-83."
2239,1275030,21174818,40,,,apa,Improvement of student competency in physics using Predict-Observe-Explain-Write (POEW) learning model at senior high school,Jurnal Penelitian Inovasi Pembelajaran Fisika,2012,"Sani, R",,,no_match,,,,,,,,,,,,,,,,,,"Sani, R. A., & Anggryani-Sinaga, L. F. (2012). Improvement of student competency in physics using Predict-Observe-Explain-Write (POEW) learning model at senior high school. Jurnal Penelitian Inovasi Pembelajaran Fisika, 4(2), 1-7."
2249,1292409,22033949,29,,,apa,Eski Türk Şiiri’nde Oğuzca unsurlar,"Oğuz-Türkmen Araştırmaları Dergisi, IV(1",2020,"Özevren, M",,,no_match,,,,,,,,,,,,,,,,,,"Özevren, M. S. (2020). Eski Türk Şiiri’nde Oğuzca unsurlar. Oğuz-Türkmen Araştırmaları Dergisi, IV(1), 142-153."
2252,1223704,18907201,6,,,apa,The effect of source-sink restriction and plant density changes on the role of assimilate remobilization in corn grain yield,International Journal of Agriculture and Crop Sciences,2013,"Falihzade, F., Mojadam, M",,,no_match,,,,,,,,,,,,,,,,,,"Falihzade, F., Mojadam, M. and Lack, S. (2013). The effect of source-sink restriction and plant density changes on the role of assimilate remobilization in corn grain yield. International Journal of Agriculture and Crop Sciences, 5(20): 2459-2465."
2266,1209154,18317110,38,,,volume_pages,Entansif ve yarı entansif koşullarda (özel olarak tesis edilmiş hindi meralarında) yetiştirilen bronz hindilerin besi performansları ve karkas özellikleri yönünden karşılaştırılması,"Turk J Vet Anim Sci, 23",1999,"Şengül T, Yurtseven S, Polat T",,,no_match,,,,,,,,,,,,,,,,,,"Şengül T, Yurtseven S, Polat T, 1999. Entansif ve yarı entansif koşullarda (özel olarak tesis edilmiş hindi meralarında) yetiştirilen bronz hindilerin besi performansları ve karkas özellikleri yönünden karşılaştırılması. Turk J Vet Anim Sci, 23, 9, 489-93."
2330,1269165,20883590,5,,,volume_pages,Kentsel tasarım kavramında kentsel tasarım rehberlerinin yeri ve önemi,Kent Akademisi,2018,"Arısu, S",title_full,Kentsel tasarım kavramında kentsel tasarım rehberlerinin yeri ve önemi,no_match,1270561,10.58816/duzceod.1209384,not_checked,,Yerler”in Yaratılmasında Bir Araç Olarak Kentsel Tasarım Rehberlerinin Rolü,2023,Düzce Üniversitesi Orman Fakültesi Ormancılık Dergisi,1859,PAPER,0.4796,0.6094,0.625,8,False,0.3607,0.0,False,"Arısu, S., 2018. Kentsel tasarım kavramında kentsel tasarım rehberlerinin yeri ve önemi. Kent Akademisi, 11(2), 243-255."
2337,1373862,25571186,61,,,quoted,Dahiliye Vekili Nazım Bey,İstifası Meselesi,1995,"Yalçın, E",,,no_match,,,,,,,,,,,,,,,,,,"Yalçın, E. Semih, “Dahiliye Vekili Nazım Bey’in İstifası Meselesi.” Atatürk Araştırma Merkezi Dergisi XI, 32 (1995): 405-416. https://dergipark.org.tr/tr/download/article-file/1172083"
2350,1276318,21227674,12,,,vancouver,Evaluation the dentists' awareness of inherited bleeding disorders and anticoagulants in Shiraz,Iran J Ped Hematol Oncol,2013,"Robati R, Farokhi M",,,no_match,,,,,,,,,,,,,,,,,,"12. Robati R, Farokhi M. Evaluation the dentists' awareness of inherited bleeding disorders and anticoagulants in Shiraz. Iran J Ped Hematol Oncol 2013; 3(4):159–63."
2357,1372580,25525233,21,,,apa,The Influence of supply chain performance and motivation on employee performance,International Journal of Supply Chain Management,2020,"Sutia, S., Riadi, R., & Fahlevi, M",,,no_match,,,,,,,,,,,,,,,,,,"Sutia, S., Riadi, R., & Fahlevi, M. (2020). The Influence of supply chain performance and motivation on employee performance. International Journal of Supply Chain Management, 9(2), 86-92."
2384,1345574,24437737,19,,,apa,Yapısal ve işlevsel bakımdan geleneksel bayramlar bağlamında Nevruz ve Hıdrellez,Türkbilig / Türkoloji Araştırmaları Dergisi,2000,"Çobanoğlu, Ö",,,no_match,,,,,,,,,,,,,,,,,,"Çobanoğlu, Ö. (2000). Yapısal ve işlevsel bakımdan geleneksel bayramlar bağlamında Nevruz ve Hıdrellez. Türkbilig / Türkoloji Araştırmaları Dergisi, 1(1), 51-59."
2386,1345574,24437783,65,,,apa,"Türkiye’de kültürel mirasın anlamı ve yönetimi. Aksoy, A. ve Ünsal, D. (Ed.)",Kültürel Miras Yönetimi içinde (Ünite 2,2012,"Ünsal, D., & Pulhan, G",,,no_match,,,,,,,,,,,,,,,,,,"Ünsal, D., & Pulhan, G. (2012). Türkiye’de kültürel mirasın anlamı ve yönetimi. Aksoy, A. ve Ünsal, D. (Ed.). Kültürel Miras Yönetimi içinde (Ünite 2, 30-65). Anadolu Üniversitesi Yayınları."
2396,1334347,23995566,2,,,quoted,Il Carro Del Dio Del Sole Nei Testi Cuneiformi Dell,età Del Bronzo,2012,"Alaura, Silvia ve Bonechi, Marco",,,no_match,,,,,,,,,,,,,,,,,,"Alaura, Silvia ve Bonechi, Marco. “Il Carro Del Dio Del Sole Nei Testi Cuneiformi Dell’età Del Bronzo”, Studi micenei ed egeo-anatolici 54 (2012): 5-115."
2405,1229865,19506636,10,,,apa,Personel hizmeti sunan belediye şirketleri,"Sayıştay Dergisi, (113",2019,"Cilavdaroğlu, A",title_full_year,Personel hizmeti sunan belediye şirketleri,strong,329333,,no_doi,,PERSONELHİZMETİ SUNAN BELEDİYE ŞİRKETLERİ,2019,Sayıştay Dergisi,684,PAPER,0.9436,1.0,1.0,5,True,0.9091,0.0,False,"Cilavdaroğlu, A. A. (2019). Personel hizmeti sunan belediye şirketleri. Sayıştay Dergisi, (113), 181-205."
2428,1238160,19595330,2,,,volume_pages,“Restoran İşletmelerinde Müşteri Şikâyetleri ve Şikâyete İlişkin Davranışlar,"Paradoks Ekonomi, Sosyoloji ve Politika Dergisi",2013,"Albayrak, A",,,no_match,,,,,,,,,,,,,,,,,,"Albayrak, A. (2013). “Restoran İşletmelerinde Müşteri Şikâyetleri ve Şikâyete İlişkin Davranışlar.” Paradoks Ekonomi, Sosyoloji ve Politika Dergisi, 2(9), 24-51."
2432,1335040,24020210,102,,,apa,"Water Lettuce (Pistia stratiotes, Linn) potency as one of ecofriendly phytoextraction absorbers of zinc heavy metal to solve industrial waste problem in indonesia",International Conerence on Environmental Biomedical and Biotechnology,2012,Nurhayati P,,,no_match,,,,,,,,,,,,,,,,,,"Nurhayati P. (2012). Water Lettuce (Pistia stratiotes, Linn) potency as one of eco- friendly phytoextraction absorbers of zinc heavy metal to solve industrial waste problem in indonesia. International Conerence on Environmental Biomedical and Biotechnology, 41, 151-156,"
2447,1305300,22582007,8,,,apa,The Economic Impact of the FIFA World Cup 2006 in Germany,Journal of Sports Economics,2018,"Maennig, W",,,no_match,,,,,,,,,,,,,,,,,,"Maennig, W. ve Zimmermann, P. (2018). The Economic Impact of the FIFA World Cup 2006 in Germany. Journal of Sports Economics, 19(2), 183-212."
2469,1344046,24377270,31,,,apa,Çocuğun dini eğitimi ve öğretiminde bilgisayarın yeri ve önemi,Uludağ Üniversitesi İlahiyat Fakültesi Dergisi,1998,"Kılavuz, M",,,no_match,,,,,,,,,,,,,,,,,,"Kılavuz, M. A. (1998). Çocuğun dini eğitimi ve öğretiminde bilgisayarın yeri ve önemi. Uludağ Üniversitesi İlahiyat Fakültesi Dergisi, 7(7), 373-378."
2507,1366307,25296675,32,,,apa,Granitoyid Atıklarının (Gümüşhane) Seramik Sırlarda Renklendirici Olarak Kullanılması: Sürdürülebilir Üretim Açısından Bir Değerlendirme. Uluslararası Katılımlı 77,Türkiye Jeoloji Kurultayı,2025,"Tonza Helvacıkara, F., Çakır Arianpour, A., Işıktaş, İ",,,no_match,,,,,,,,,,,,,,,,,,"Tonza Helvacıkara, F., Çakır Arianpour, A., Işıktaş, İ. D., Gücer, M. A. & Sipahi, F., Bedel Özek, S. (2025). Granitoyid Atıklarının (Gümüşhane) Seramik Sırlarda Renklendirici Olarak Kullanılması: Sürdürülebilir Üretim Açısından Bir Değerlendirme. Uluslararası Katılımlı 77. Türkiye Jeoloji Kurultayı, 14-18 Nisan 2025, Ankara, Türkiye."
2513,1276330,21228142,24,,,apa,Kâğıt Endüstrisinde Oluşabilecek Çevre Sorunları ve Çözüm Önerileri. İçinde Üniversite Öğrencileri IV,Çevre Sorunları Kongresi Bildiri Kitabı,2007,"Oktay, Y., Şahiner, E",,,no_match,,,,,,,,,,,,,,,,,,"Oktay, Y., Şahiner, E. B. (2007). Kâğıt Endüstrisinde Oluşabilecek Çevre Sorunları ve Çözüm Önerileri. İçinde Üniversite Öğrencileri IV. Çevre Sorunları Kongresi Bildiri Kitabı, 176-184."
2530,1333057,24222718,23,10.14359/51684395,10.14359/51684395,apa,Shrinkage Cracking and Durability Characteristics of Alkali-Activated Slag Concrete,Materials Journal,2012,"Ghafoori, N., & Diaz-Loya, I",,,no_match,,,,,,,,,,,,,,,,,,"Ghafoori, N., & Diaz-Loya, I. (2012). Shrinkage Cracking and Durability Characteristics of Alkali-Activated Slag Concrete. Materials Journal, 109(2), 209-217. https://doi.org/10.14359/51684395."
2569,1349860,24607124,29,,,apa,Effective feedback to improve students’ writing skills,"English Education, Linguistics, and Literature Journal",2022,"Wulandari, Y",title_full_year,Effective feedback to improve students writing skills,no_match,1158974,10.17522/balikesirnef.1127523,not_checked,,PreService Mathematics and Physics Teachers’ Experiences of Implementing Peer-Assessment,2022,Necatibey Eğitim Fakültesi Elektronik Fen ve Matematik Eğitimi Dergisi,202,PAPER,0.335,0.3429,0.0,6,True,0.2385,0.0,False,"Wulandari, Y. (2022). Effective feedback to improve students’ writing skills. English Education, Linguistics, and Literature Journal, 1(1), 10-17."
2593,1379873,25759419,25,,,apa,Significance of artificial insemination in poultry,Research & Reviews: Journal of Veterinary Science and Technology,2016,"Kharayat, N,S., Chaudhary, G,R., Katiyar, R., Balmurugan, B., Patel, M., Uniyal, S., Raza, M., & Mishra, G",title_full,Significance of artificial insemination in poultry,no_match,399151,10.34233/jpr.606502,not_checked,,KanatlıHayvanlarda Reprodüktif Mekanizma ve Fertilizasyon,2019,Tavukçuluk Araştırma Dergisi,1144,PAPER,0.1615,0.2804,0.0,4,False,0.225,0.0,False,"Kharayat, N,S., Chaudhary, G,R., Katiyar, R., Balmurugan, B., Patel, M., Uniyal, S., Raza, M., & Mishra, G. (2016). Significance of artificial insemination in poultry. Research & Reviews: Journal of Veterinary Science and Technology, 5(1), 1-5. https://sciencejournals.stmjournals.in/index.php/RRJoVST/article/view/519."
2613,1234348,19456943,38,,,apa,Turkey and the Post-Soviet states: a new way forward,Insight Turkey,2005,"Walker, J",title_full,Turkey and the Post Soviet states a new way forward,no_match,321692,,no_doi,,DÜNYADAVE TÜRKİYE’DE İDAREYİ DEĞİŞİME İTEN NEDENLER,2017,Dumlupınar Üniversitesi Sosyal Bilimler Dergisi,501,PAPER,0.2038,0.3678,0.0,7,False,0.1786,0.0,False,"Walker, J. W. (2005). Turkey and the Post-Soviet states: a new way forward. Insight Turkey, 7(4), 13–19."
2626,1354648,25248568,38,,,apa,Researching global citizenship education: Towards a critical approach,Journal of Social Science Education,2020,"Schippling, A",,,no_match,,,,,,,,,,,,,,,,,,"Schippling, A. (2020). Researching global citizenship education: Towards a critical approach. Journal of Social Science Education, 19(4), 98-113."
2691,1245727,19901746,36,,,apa,Okul merkezli yönetim uygulamaları,Kuram ve Uygulamada Eğitim Yönetimi,2003,"Şahin, S",title_full_year,Okul merkezli yönetim uygulamaları,no_match,3171,,no_doi,,İlköğretimve Ortaöğretim Öğretmenlerine Yönelik Disiplin ve Ödüllendirme Uygulamaları,2003,Kuram ve Uygulamada Eğitim Bilimleri,373,PAPER,0.4814,0.437,0.25,4,True,0.8451,0.0,False,"Şahin, S. (2003). Okul merkezli yönetim uygulamaları. Kuram ve Uygulamada Eğitim Yönetimi, 36(36), 582-605."
2738,1235150,19495118,17,,,vancouver,A multicenter clinical study with myo-inositol and alpha-lactalbumin in Mexican and Italian PCOS patients,Eur Rev Med Pharmacol Sci,2021,"Hernandez MI, Picconi O, Laganà AS, Costabile L, Unfer V",,,no_match,,,,,,,,,,,,,,,,,,"17. Hernandez MI, Picconi O, Laganà AS, Costabile L, Unfer V. A multicenter clinical study with myo-inositol and alpha-lactalbumin in Mexican and Italian PCOS patients. Eur Rev Med Pharmacol Sci. 2021;25(8):3316-24."
2773,1263393,20640664,11,,,apa,Nazar. Türkiye Diyanet Vakfı İslam Ansiklopedisi (C,32,2006,"Gürkan, S",,,no_match,,,,,,,,,,,,,,,,,,"Gürkan, S. L. (2006). Nazar. Türkiye Diyanet Vakfı İslam Ansiklopedisi (C. 32, 444-446) İstanbul: TDV Yayınları."
2775,1225795,19014137,21,,,vancouver,"Risk factors for, and causes of, perinatal calf mortality and implications for calf welfare",MJAVL,2019,"John M, Şen İ, Kizi AA, Uulu NA, Taş A",,,no_match,,,,,,,,,,,,,,,,,,"John M, Şen İ, Kizi AA, Uulu NA, Taş A. Risk factors for, and causes of, perinatal calf mortality and implications for calf welfare. MJAVL 2019; 9(1): 35-41."
2803,1332319,23919932,19,,,apa,İnsan kaynaklarında sessizliğin yankıları: Örgütlerde sessiz istifa fenomeninin anatomisi,Süleyman Demirel Üniversitesi İnsan Kaynakları Yönetimi Dergisi,2023,"Demirkaya, H., Yıldız, B., Erener Özalçın, S., & Öztürk, H",,,no_match,,,,,,,,,,,,,,,,,,"Demirkaya, H., Yıldız, B., Erener Özalçın, S., & Öztürk, H. (2023). İnsan kaynaklarında sessizliğin yankıları: Örgütlerde sessiz istifa fenomeninin anatomisi. Süleyman Demirel Üniversitesi İnsan Kaynakları Yönetimi Dergisi, 2(2), 69-88. https://dergipark.org.tr/en/download/article-file/3534084"
2823,1368401,25376567,18,,,apa,Hemodiyaliz hastalarının psikolojik dayanıklılık durumları ve etkileyen faktörlerin değerlendirilmesi,Nefroloji Hemşireliği Dergisi,2016,"Dane, E., & Olgun, N",,,no_match,,,,,,,,,,,,,,,,,,"Dane, E., & Olgun, N. (2016). Hemodiyaliz hastalarının psikolojik dayanıklılık durumları ve etkileyen faktörlerin değerlendirilmesi. Nefroloji Hemşireliği Dergisi, 11(1), 43-54."
2840,1359754,25273541,15,,,vancouver,Effects of platelet-rich plasma on cartilage grafts in rabbits as an animal model,World J Plast Surg,2012,"Manafi A, Kaviani Far K, Moradi M, Manafi A, Manafi F",,,no_match,,,,,,,,,,,,,,,,,,"15. Manafi A, Kaviani Far K, Moradi M, Manafi A, Manafi F. Effects of platelet-rich plasma on cartilage grafts in rabbits as an animal model. World J Plast Surg. 2012;1(2):91-8."
2870,1342052,24288921,29,,,apa,Effect of Tillage; Seed Rate and Weed Control Methods on Weeds and Maize (Zed mays L.),Indian Journal of Weed Science,2006,"Sarma, C., & Gautam, R",,,no_match,,,,,,,,,,,,,,,,,,"Sarma, C., & Gautam, R. (2006). Effect of Tillage; Seed Rate and Weed Control Methods on Weeds and Maize (Zed mays L.). Indian Journal of Weed Science, 38, 58–61. https://api.semanticscholar.org/CorpusID:85905878"
2880,1178793,16810556,3,,,vancouver,Temporomandibuler eklem bozukluklarında konservatif tedavi yaklaşımları: Okluzal splintler,ADO Klin Bil Derg,2010,"Aydın M, Ozan O, Ramoğlu S",,,no_match,,,,,,,,,,,,,,,,,,"3. Aydın M, Ozan O, Ramoğlu S. Temporomandibuler eklem bozukluklarında konservatif tedavi yaklaşımları: Okluzal splintler. ADO Klin Bil Derg. 2010;5:913-923."
2897,1356183,24860665,18,,,apa,Determinants of customer satisfaction and bank selection in Pakistan,Interdisciplinary Journal of Contemporary Research in Business,2010,"Bhatti, G",,,no_match,,,,,,,,,,,,,,,,,,"Bhatti, G. A., Hussain, H., & Akbar, Z. A. (2010). Determinants of customer satisfaction and bank selection in Pakistan. Interdisciplinary Journal of Contemporary Research in Business, 2(6), 536-554."
2898,1356183,24860681,34,,,apa,Bankalarda teknoloji yoğun finansal ürünlerin kullanılmasında müşteri özelliklerinin rolü,Active Bankacılık ve Finans Dergisi,2004,"Karakaya, A., & Karamustafa, O",,,no_match,,,,,,,,,,,,,,,,,,"Karakaya, A., & Karamustafa, O. (2004). Bankalarda teknoloji yoğun finansal ürünlerin kullanılmasında müşteri özelliklerinin rolü. Active Bankacılık ve Finans Dergisi, 38, 1-6."
2904,1206310,18146773,11,,,apa,Faktör analizi: Temel kavramlar ve ölçek geliştirmede kullanımı,Kuram ve uygulamada eğitim yönetimi,2002,"Büyüköztürk, Ş",title_full,Faktör analizi Temel kavramlar ve ölçek geliştirmede kullanımı,no_match,55753,,no_doi,,Sportüketiminde pazarlama bileşenleri: Ölçek geliştirme,2004,Spor Bilimleri Dergisi,488,PAPER,0.352,0.4655,0.4,7,False,0.3137,0.0,False,"Büyüköztürk, Ş. (2002). Faktör analizi: Temel kavramlar ve ölçek geliştirmede kullanımı. Kuram ve uygulamada eğitim yönetimi, 470-483."
2909,1284975,21711825,15,,,vancouver,Mesenteric panniculitis: review of the leterature and presentation of cases,Surgery,1977,"Durst AL, Freund H, Rosenmann E, Birnbaum D",,,no_match,,,,,,,,,,,,,,,,,,"15. Durst AL, Freund H, Rosenmann E, Birnbaum D. Mesenteric panniculitis: review of the leterature and presentation of cases. Surgery. 1977;81(2):203-11."
2923,1319356,23341354,64,,,apa,Newtonian time and psychological explanation,Journal of Mind and Behavior,1995,Slife BD,,,no_match,,,,,,,,,,,,,,,,,,"Slife BD (1995) Newtonian time and psychological explanation. Journal of Mind and Behavior, 16:45-62."
2945,1323707,23544890,54,,,apa,Historical political ecology: An introduction,Historical Geography,2004,"Offen, K",title_salient,Historical political ecology introduction,no_match,1243507,10.33458/uidergisi.1480444,not_checked,,"IntroductionMarxifying IR, IRifying Marxism",2024,Uluslararası İlişkiler,521,PAPER,0.2235,0.3038,0.25,4,False,0.15,0.0,False,"Offen, K. H. (2004). Historical political ecology: An introduction. Historical Geography, 32: 19-42."
3030,1229738,19486442,5,,,vancouver,Temel radyolojik inceleme yöntemlerini tanıma,İnönü Üni Sağlık Hizmetleri MYO Dergisi,2017,"Aydoğdu A, Aydoğdu Y, Yakıncı ZD",,,no_match,,,,,,,,,,,,,,,,,,"5. Aydoğdu A, Aydoğdu Y, Yakıncı ZD. Temel radyolojik inceleme yöntemlerini tanıma. İnönü Üni Sağlık Hizmetleri MYO Dergisi 2017;5(2):44-53."
3041,1283770,21629037,24,,,vancouver,Determining education faculty students internet usage purposes,Batman Univ J Life Sci [Article in Turkish,2012,"Tüysüz C, Balaban F, Atalar T",,,no_match,,,,,,,,,,,,,,,,,,"24. Tüysüz C, Balaban F, Atalar T. Determining education faculty students internet usage purposes. Batman Univ J Life Sci [Article in Turkish] 2012;1:251–60."
3044,1288337,21868818,40,,,apa,Eğitimbilim araştırmalarında etkin olarak kullanılabilecek nitel bir araştırma tekniği: Görüşme,Kuram ve Uygulamada Eğitim Yönetimi,2000,"Türnüklü, A",,,no_match,,,,,,,,,,,,,,,,,,"Türnüklü, A. (2000). Eğitimbilim araştırmalarında etkin olarak kullanılabilecek nitel bir araştırma tekniği: Görüşme. Kuram ve Uygulamada Eğitim Yönetimi, 24(24), 543-559."
3055,1247897,19981824,47,,,apa,Styles and quality of learning: a case of language learners,Journal of Elementary Education,2014,"Farooq, M",title_full,Styles and quality of learning a case of language learners,no_match,388268,,no_doi,,ANINVESTIGATION INTO EFL TEACHERS’ ASSESSMENT OF YOUNG LEARNERS OF ENGLISH: DOES PRACTICE MATCH THE POLICY?,2020,IOJET,933,PAPER,0.2098,0.3165,0.1667,6,False,0.1212,0.0,False,"Farooq, M. S. (2014). Styles and quality of learning: a case of language learners. Journal of Elementary Education, 25(1), 19-37."
3057,1247897,19981900,123,,,apa,Language learning strategies among EFL/ESL learners: a review of literature,International Journal of Humanities and Social Science,2012,"Zare, P",title_salient,Language learning strategies among EFL ESL learners literature,no_match,1230162,10.17556/erziefd.1373734,not_checked,,AThorough Investigation into Foreign Language Writing Anxiety in a Turkish EFL Context,2024,Erzincan Üniversitesi Eğitim Fakültesi Dergisi,511,PAPER,0.258,0.35,0.25,8,False,0.3,0.0,False,"Zare, P. (2012). Language learning strategies among EFL/ESL learners: a review of literature. International Journal of Humanities and Social Science, 2(5), 162-176."
3058,1321783,23460676,13,,,apa,Siyasal reklam aracı olarak afişler: 7 Haziran 2015 Genel Seçimleri döneminde Milliyetçi Hareket Partisi reklam afişlerinin analizi,Siirt Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,2018,"Eraslan, M",,,no_match,,,,,,,,,,,,,,,,,,"Eraslan, M. C. (2018). Siyasal reklam aracı olarak afişler: 7 Haziran 2015 Genel Seçimleri döneminde Milliyetçi Hareket Partisi reklam afişlerinin analizi. Siirt Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 6(12), 379-390."
3078,1238082,19593505,27,,,apa,Erzincan üniversitesi öğrencilerinin beslenme alışkanlıkları ve antropometrik özelliklerinin değerlendirilmesi,Erzincan Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,2016,"Özütürker, S",,,no_match,,,,,,,,,,,,,,,,,,"Özütürker, S. ve Özer, B. K. (2016). Erzincan üniversitesi öğrencilerinin beslenme alışkanlıkları ve antropometrik özelliklerinin değerlendirilmesi. Erzincan Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 9(2):63-74."
3087,1183551,17048585,3,,,apa,Effect of spraying thiamin and salicylic acid on growth and flowering of Zinnia elegans L,Advances in Agriculture & Botanics,2015,"Al-Abbasi, A",,,no_match,,,,,,,,,,,,,,,,,,"Al-Abbasi, A. M., Abbas, J. A. and Al-Zurfi, M. T. (2015). Effect of spraying thiamin and salicylic acid on growth and flowering of Zinnia elegans L. Advances in Agriculture & Botanics, 7(1): 44-50."
3100,1269049,20878445,29,,,apa,Deprem ve dini başa çıkma,Hitit Üniversitesi İlahiyat Fakültesi Dergisi,2002,"Kula, N",title_full,Deprem ve dini başa çıkma,no_match,1409725,10.32739/uskudarsbd.12.22.166,not_checked,,DoğuTürkistanlı Göçmen Kadınlarda Depresyon ve Dini Başa Çıkma İlişkisi,2026,Üsküdar Üniversitesi Sosyal Bilimler Dergisi,2043,PAPER,0.4675,0.5,0.75,4,False,0.6067,0.0,False,"Kula, N. (2002). Deprem ve dini başa çıkma. Hitit Üniversitesi İlahiyat Fakültesi Dergisi, 1(1), 234-255."
3106,1198651,17844664,64,,,apa,Akademisyenlerin genel öz-yeterlik inançları: AİBÜ Eğitim fakültesi örneği,Trakya Üniversitesi Eğitim Fakültesi Dergisi,2013,"Uysal, İ",,,no_match,,,,,,,,,,,,,,,,,,"Uysal, İ. (2013). Akademisyenlerin genel öz-yeterlik inançları: AİBÜ Eğitim fakültesi örneği. Trakya Üniversitesi Eğitim Fakültesi Dergisi, 3(2), 144-151. Erişim adresi: https://dergipark.org.tr/tr/download/article-file/200349"
3138,1249244,20082494,48,,,apa,"Lojistik performans ve ekonomik büyüme arasındaki ilişki: Orta-Doğu, Avrupa ülkeleri ve Türkiye örneği","Journal of International Management, Educational and Economics Perspectives",2019,"Şimşek, T",,,no_match,,,,,,,,,,,,,,,,,,"Şimşek, T. & Yiğit, E. (2019). Lojistik performans ve ekonomik büyüme arasındaki ilişki: Orta-Doğu, Avrupa ülkeleri ve Türkiye örneği. Journal of International Management, Educational and Economics Perspectives, 7(2), 169-177."
3196,1342537,24311005,2,,,loose_year,Üniversitelerde kampus yerleşme biçimleri,Yapı Derg,2002,Begeç H,title_full,Üniversitelerde kampus yerleşme biçimleri,no_match,288680,10.17341/gazimmfd.416389,not_checked,,"Kentdışı bir üniversite kampüsünün dış mekânlarında ısıl konfor, kullanım ve mekân dizim analizi",2018,Gazi Üniversitesi Mühendislik Mimarlık Fakültesi Dergisi,274,PAPER,0.2765,0.3971,0.25,4,False,0.2154,0.0,False,"Begeç H. 2002. Üniversitelerde kampus yerleşme biçimleri. Yapı Derg, 252: 57-63."
3210,1272002,21026266,35,,,apa,Serdülők okostelefon-használata [Smartphone usage among adolescents],Psychiatria Hungarica: A Magyar Pszichiatriai Tarsasag Tudomanyos Folyoirata,2015,"Körmendi, A",,,no_match,,,,,,,,,,,,,,,,,,"Körmendi, A. (2015). Serdülők okostelefon-használata [Smartphone usage among adolescents]. Psychiatria Hungarica: A Magyar Pszichiatriai Tarsasag Tudomanyos Folyoirata, 30(3), 297–302."
3233,1313130,22933441,5,,,apa,Digit ratio (2D:4D) and relative age effect (RAE) in physical fitness testing performance on male and female adolescents,Malaysian Journal of Sport Science and Recreation,2024,"Azam, Z., Sanuddin, N",,,no_match,,,,,,,,,,,,,,,,,,"Azam, Z., Sanuddin, N. D., Isa, K. A., Kassim, N. A. M., Kosni, N. A., Yazid, U. M., … et al. (2024). Digit ratio (2D:4D) and relative age effect (RAE) in physical fitness testing performance on male and female adolescents. Malaysian Journal of Sport Science and Recreation, 20(2), 1-13."
3256,1342066,24289522,19,,,apa,Revisiting Vygotsky's Sociocultural Theory: Implications for Teacher Education,International Journal of Research in Education and Science,2019,"Khadijeh, M., & Yaghoubi, J",,,no_match,,,,,,,,,,,,,,,,,,"Khadijeh, M., & Yaghoubi, J. (2019). Revisiting Vygotsky's Sociocultural Theory: Implications for Teacher Education. International Journal of Research in Education and Science, 5(2), 365-373."
3263,1219704,19137326,38,,,apa,Relationship between functional movement screening and performance tests in elite university female netball players,"South African Journal for Research in Sport, Physical Education and Recreation",2017,"Venter, R",,,no_match,,,,,,,,,,,,,,,,,,"Venter, R. E., Masterson, C., Tidbury, G. B., & Krkeljas, Z. (2017). Relationship between functional movement screening and performance tests in elite university female netball players. South African Journal for Research in Sport, Physical Education and Recreation, 39(1), 189-198."
