sample_index,publication_id,reference_id,reference_order,query_mode,pmid,europepmc_status,europepmc_id,europepmc_source,europepmc_doi,europepmc_title,europepmc_year,europepmc_journal,confidence,title_coverage,title_similarity,title_token_count,author_coverage,year_match,request_key,query,context
7247,1267314,20795765,29,title,,no_match,PMC12941102,PMC,,Zinc(II) Coordination Compounds on Acylhydrazones of 2-Tosylaminobenzaldehyde Basis as Promising Luminescent Agents,2026,Int J Mol Sci,0.007,0.0,0.0349,9,0.0,False,query:5(4):472-477 2014,5(4):472-477 2014,"30. Tarzamni MK, Khoshbaten M, Sadrarhami S, et al. Hepatic artery and portal vein Doppler indexes in non-alcoholic fatty liver disease before and after treatment to prevent unnecessary health care costs. Int J Prev Med. 2014;5(4):472-477."
7360,1263262,20637398,98,not_checked,,no_match,,,,,,,,,,,,,,,"98. Bastan İ, Bas B. Clinical and some laboratory findings in cats with Toxoplasmosis. TJVR 2018; 2: 1-4."
7458,1275382,21186841,8,title,,no_match,41963890,MED,10.1186/s12912-026-04632-w,Attitudes towards electronic health records and attending training among licensed practical nurses: a cross-sectional survey study.,2026,BMC Nurs,0.2521,0.2857,0.4749,14,0.0,False,"query:TITLE:""“Public Attitudes Toward Electronic Health Records”""","TITLE:""“Public Attitudes Toward Electronic Health Records”""","8. Alan F. Westin (2005). “Public Attitudes Toward Electronic Health Records”. AHIP Cover, 12 (2), 1–7."
7743,1362300,25115853,13,title,,no_match,42312025,MED,10.3389/fcimb.2026.1821740,"Carbapenem-resistant enterobacterales in sterile body fluids: ten-year population genomics and clinical risk factors in a tertiary hospital, 2016-2025.",2026,Front Cell Infect Microbiol,0.0426,0.0588,0.0512,17,0.0,False,query:32(2): 156-64 2024,32(2): 156-64 2024,"13. Phummanee R, Limruangrong P, Phahuwattanakorn W. The influence of types of gestational diabetes mellitus, self-management, social support, and risk perception on health-related quality of life in pregnant women with gestational diabetes mellitus. Thai J Obstet Gynaecol. 2024; 32(2): 156-64."
7947,1385981,26512478,292,title,,strong,24335357,MED,,[Cancer statistics in the world].,2013,Gan To Kagaku Ryoho,1.0,1.0,1.0,3,1.0,True,query:Cancer statistics in the world Gan to kagaku ryoho 2013,Cancer statistics in the world Gan to kagaku ryoho 2013,"Saika, K., & Sobue, T. (2013). Cancer statistics in the world. Gan to kagaku ryoho. Cancer & chemotherapy, 40(13), 2475-2480."
8008,1339228,24165301,4,title,,strong,32233271,MED,,Posterior reversible encephalopathy syndrome secondary to oxaliplatin-based chemotherapy and regorafenib in metastastic colorectal cancer : case reports and literature review.,2020,Acta Gastroenterol Belg,1.0,1.0,1.0,14,1.0,True,"query:TITLE:""Posterior reversible encephalopathy syndrome secondary to oxaliplatin-based chemotherapy and regorafenib in metastastic colorectal cancer: case reports and literature review""","TITLE:""Posterior reversible encephalopathy syndrome secondary to oxaliplatin-based chemotherapy and regorafenib in metastastic colorectal cancer: case reports and literature review""","Van Pelt Q, Stragier E, Roelandt P, Van Cutsem E. Posterior reversible encephalopathy syndrome secondary to oxaliplatin-based chemotherapy and regorafenib in metastastic colorectal cancer: case reports and literature review. Acta Gastroenterol Belg 2020;83:47–50."
8100,1218161,19068734,44,title,,no_match,41857642,MED,10.1186/s40337-026-01581-2,"A scoping review of eating disorder symptoms and mental health during the postpartum period: predictors, course, and consequences for mothers and infants.",2026,J Eat Disord,0.1289,0.1429,0.2519,14,0.0,False,query:Breastfeeding consultation status of mothers J Child Health Dis 2010,Breastfeeding consultation status of mothers J Child Health Dis 2010,"44.Ince T, Kondolot M, Yalçın SS, Yurdakök K. Breastfeeding consultation status of mothers. J Child Health Dis 2010;53:189-97."
8223,1309073,22719335,5,title,,strong,6438478,MED,,[Prognostic nutritional index in gastrointestinal surgery of malnourished cancer patients].,1984,Nihon Geka Gakkai Zasshi,1.0,1.0,1.0,8,1.0,True,"query:TITLE:""Prognostic nutritional index in gastrointestinal surgery of malnourished cancer patients""","TITLE:""Prognostic nutritional index in gastrointestinal surgery of malnourished cancer patients""","5. Onodera T, Goseki N, Kosaki G. Prognostic nutritional index in gastrointestinal surgery of malnourished cancer patients. Nihon Geka Gakkai Zasshi. 1984;85:1001-5."
8289,1261851,20586520,3,title_journal_year,,no_match,30572918,MED,10.1186/s13052-018-0581-y,"74th Congress of the Italian Society of Pediatrics : Rome, Italy. 12-16 June 2018.",2018,Ital J Pediatr,0.0627,0.0,0.3133,9,0.0,False,query:Homeopathy in Pediatric dentistry – A review Homeopathy in Pediatric dentistry – A review Scholars Journal of Dental Sciences 2017,Homeopathy in Pediatric dentistry – A review Homeopathy in Pediatric dentistry – A review Scholars Journal of Dental Sciences 2017,"3. Saikiran KV, Kamatham R, Saha A, et al. Homeopathy in Pediatric dentistry – A review Homeopathy in Pediatric dentistry – A review. Scholars Journal of Dental Sciences. 2017;4:89-92."
8491,1385956,26731174,17,title,,strong,17330450,MED,,The incidence of nausea and vomiting of pregnancy (NVP): a comparison between depressed women treated with antidepressants and non-depressed women.,2006,Clin Invest Med,1.0,1.0,1.0,14,1.0,True,"query:TITLE:""The incidence of nausea and vomiting of pregnancy (NVP): a comparison between depressed women treated with antidepressants and non-depressed women""","TITLE:""The incidence of nausea and vomiting of pregnancy (NVP): a comparison between depressed women treated with antidepressants and non-depressed women""","17. Bozzo P, Koren G, Nava-Ocampo AA, Einarson A. The incidence of nausea and vomiting of pregnancy (NVP): a comparison between depressed women treated with antidepressants and non-depressed women. Clin Invest Med 2006;29:347–50."
8504,1305625,22594665,32,title_journal_year,,no_match,40958115,MED,10.1186/s12969-025-01138-8,Proceedings of the 32nd European Paediatric Rheumatology Congress.,2025,Pediatr Rheumatol Online J,0.0531,0.0,0.2656,6,0.0,False,query:Profile and clinical relevance of autoantibodies in patients with chronic hepatitis B infection Int J Clin Exp Med 2017,Profile and clinical relevance of autoantibodies in patients with chronic hepatitis B infection Int J Clin Exp Med 2017,"32. Lu J, Lv Y, Dai E, Liu Y, Gao H, Tsuji NM, et al. Profile and clinical relevance of autoantibodies in patients with chronic hepatitis B infection. Int J Clin Exp Med 2017;10:3568-74."
8540,1287154,21812566,2,title,,no_match,41111139,MED,10.1186/s44158-025-00273-8,Abstracts of the ICARE 2025 79th SIAARTI National Congress.,2025,J Anesth Analg Crit Care,0.0418,0.0,0.2092,7,0.0,False,query:Infectious spondylodiscitis: diagnosis and treatment Mo Med 2013,Infectious spondylodiscitis: diagnosis and treatment Mo Med 2013,"2. Amini MH, Salzman GA. Infectious spondylodiscitis: diagnosis and treatment. Mo Med 2013;110:80-84."
8572,1352122,24687542,11,title,,no_match,41777038,MED,10.1177/00048674251406028,Who uses Better Access treatment services? A re-analysis of data from the usual care arms of two randomised controlled trials.,2026,Aust N Z J Psychiatry,0.0041,0.0,0.0206,14,0.0,False,query:10(2):93-9 [Link] 2017,10(2):93-9 [Link] 2017,"Çetinkaya F, Aşiret GD. Dahili ve cerrahi kliniklerindeki hastaların öğrenim gereksinimlerinin belirlenmesi [Identification of learning needs of patients in medical and surgical units]. Dokuz Eylül Üniversitesi Hemşirelik Fakültesi Elektronik Dergisi. 2017;10(2):93-9. [Link]"
8718,1339113,24163472,8,title,,no_match,42194396,MED,10.3390/healthcare14101304,Trends and Regional Disparities in the Treatment of Echinococcosis in Kazakhstan: A Nationwide Retrospective Study (2017-2024).,2026,Healthcare (Basel),0.1217,0.1,0.3333,10,0.0,False,query:6(2):1–7 2017,6(2):1–7 2017,"Mujahid M, Ghani F. Cancer is a disorder or a survival mechanism: A review article. Res Rev J Med Health Sci 2017;6(2):1–7."
8726,1352751,24714261,22,title,,no_match,42218557,MED,10.1186/s40462-026-00667-5,"Upstream passage windows for anadromous fish at a large barrier in the Rhine-Meuse estuary, 1996-2018.",2026,Mov Ecol,0.0532,0.0,0.2662,12,0.0,False,query:41(12):3732-42 2000,41(12):3732-42 2000,"Sullivan DA, Sullivan BD, Ullman MD, Rocha EM, Krenzer KL, Cermak JM, et al. Androgen influence on the meibomian gland. Invest Ophthalmol Vis Sci. 2000;41(12):3732-42. [PubMed]"
8785,1201615,17949740,29,title_journal_year,,no_match,41374316,MED,10.3390/ma18235474,Antimicrobial Biomaterials Based on Composites of Metal Nanoparticles and Plant Extracts.,2025,Materials (Basel),0.2358,0.2857,0.3932,7,0.0,False,query:Green Synthesis and Antimicrobial Property of Gold Nanoparticles : a Review World J 2017,Green Synthesis and Antimicrobial Property of Gold Nanoparticles : a Review World J 2017,"Jha P, Saraf A, Rath D, Sharma D 2017. Green Synthesis and Antimicrobial Property of Gold Nanoparticles : a Review. World J. Pharm. Medical Res. 3(8), 431–435."
8858,1319539,23352293,21,title_journal_year,,no_match,28069350,MED,10.1053/j.gastro.2016.12.039,"Prevalence, Risk Factors, and Outcomes of Irritable Bowel Syndrome After Infectious Enteritis: A Systematic Review and Meta-analysis.",2017,Gastroenterology,0.0625,0.0,0.3125,12,0.0,False,query:Investigation of Escherichia coli O157:H7 in childhood age group diarrhea Van Med J 2007,Investigation of Escherichia coli O157:H7 in childhood age group diarrhea Van Med J 2007,"21. Ekşi F, Karslıgil T, Bayram A. Investigation of Escherichia coli O157:H7 in childhood age group diarrhea. Van Med J 2007;14:15-8."
9039,1324523,23576403,11,title,,strong,37128451,MED,10.48550/arxiv.2208.10240,A Multimodal Transformer: Fusing Clinical Notes with Structured EHR Data for Interpretable In-Hospital Mortality Prediction.,2022,AMIA Annu Symp Proc,1.0,1.0,1.0,12,1.0,True,"query:TITLE:""A Multimodal transformer: fusing clinical notes with structured EHR data for interpretable in-hospital mortality prediction""","TITLE:""A Multimodal transformer: fusing clinical notes with structured EHR data for interpretable in-hospital mortality prediction""","11. Lyu W, Dong X, Wong R, et al. A Multimodal transformer: fusing clinical notes with structured EHR data for interpretable in-hospital mortality prediction. AMIA Annu Symp Proc. 2022;2022:719-728."
9089,1241831,19748135,2,cleaned_context,,no_match,30480124,MED,10.1093/geroni/igx009,Program Abstracts from the 21st International Association of Gerontology and Geriatrics (IAGG) World Congress.,2017,Innov Aging,0.0068,0.0,0.0342,10,0.0,False,"query:Chiang, C., Yang, S., & Hsu, W. (2015). Development and validation of the e-health literacy scale and investigation of the relationships between e-health literacy and healthy behavior among undergraduate students in Taiwan. Formosa J Ment","Chiang, C., Yang, S., & Hsu, W. (2015). Development and validation of the e-health literacy scale and investigation of the relationships between e-health literacy and healthy behavior among undergraduate students in Taiwan. Formosa J Ment","Chiang, C., Yang, S., & Hsu, W. (2015). Development and validation of the e-health literacy scale and investigation of the relationships between e-health literacy and healthy behavior among undergraduate students in Taiwan. Formosa J Ment Health, 28: 3, 389–420."
9099,1227776,19439048,10,title_journal_year,,no_match,40986224,MED,10.1007/s40520-025-03119-z,"World Congress on Osteoporosis, Osteoarthritis and Musculoskeletal Diseases (WCO-IOF-ESCEO 2025).",2025,Aging Clin Exp Res,0.0567,0.0,0.2836,10,0.0,False,"query:Problems related to asymmetric information in the health services market and proposed solutions Hacettepe Journal of Health Administration, 11(2), 201-228 2009","Problems related to asymmetric information in the health services market and proposed solutions Hacettepe Journal of Health Administration, 11(2), 201-228 2009","Bilgili, E., & Ecevit, E. (2009). Problems related to asymmetric information in the health services market and proposed solutions. Hacettepe Journal of Health Administration, 11(2), 201-228."
9111,1332489,24688982,8,title_journal_year,,no_match,30480124,MED,10.1093/geroni/igx009,Program Abstracts from the 21st International Association of Gerontology and Geriatrics (IAGG) World Congress.,2017,Innov Aging,0.0598,0.0,0.2991,10,0.0,False,"query:The impact of hospital brand image on service quality, patient satisfaction and loyalty Afr J Bus Manage 2011","The impact of hospital brand image on service quality, patient satisfaction and loyalty Afr J Bus Manage 2011","8. Wu C-C. The impact of hospital brand image on service quality, patient satisfaction and loyalty. Afr J Bus Manage. 2011;5:4873-82."
9112,1332489,24688991,17,title,,strong,34145861,MED,10.19723/j.issn.1671-167x.2021.03.020,[Impact of health literacy on patient experience of outpatients in China and its mechanism].,2021,Beijing Da Xue Xue Bao Yi Xue Ban,1.0,1.0,1.0,9,1.0,True,"query:TITLE:""[Impact of health literacy on patient experience of outpatients in China and its mechanism]""","TITLE:""[Impact of health literacy on patient experience of outpatients in China and its mechanism]""","17. Wang XQ, Chen MJ, Yun QP, et al. [Impact of health literacy on patient experience of outpatients in China and its mechanism]. Beijing Da Xue Xue Bao Yi Xue Ban. 2021;53:560-5. Chinese."
9260,1354338,24778333,8,title_journal_year,,no_match,PMC12380396,PMC,,Abstracts for NAPCON 2025,2025,Lung India,0.0435,0.0,0.2177,3,0.0,False,query:Swyer-James-MacLeod Syndrome Misdiagnosed as COPD: A Case Report Ku-wait Med J 2017,Swyer-James-MacLeod Syndrome Misdiagnosed as COPD: A Case Report Ku-wait Med J 2017,"8. Intepe YS, Yuksel M, Tanyeri B. Swyer-James-MacLeod Syndrome Misdiagnosed as COPD: A Case Report. Ku-wait Med J 2017; 49:335-9."
9515,1303633,22520539,16,not_checked,,no_match,,,,,,,,,,,,,,,"16. Sircar D, Ghosh B, Ghosh A, Haldar S. Juvenile idiopathic arthritis. Indian Pediatr 2006;43:429-33."
9760,1199498,17848704,35,cleaned_context,,no_match,PMC11231130,PMC,,Abstracts from the 2024 Annual Meeting of the Society of General Internal Medicine,2024,J Gen Intern Med,0.0754,0.0,0.377,8,0.0,False,"query:Moss, E. (1995). Treating the love-sick patient. The Israel Journal of Psychiatry and Related Sciences, 32(3), 167-173","Moss, E. (1995). Treating the love-sick patient. The Israel Journal of Psychiatry and Related Sciences, 32(3), 167-173","Moss, E. (1995). Treating the love-sick patient. The Israel Journal of Psychiatry and Related Sciences, 32(3), 167-173."
