sample_index,publication_id,reference_id,reference_order,source_doi,datacite_status,datacite_doi,datacite_title,datacite_publisher,datacite_year,datacite_type,datacite_url,confidence,title_coverage,title_similarity,title_token_count,author_coverage,year_match,request_key,query_source,query,context
980,1369846,25424875,4,,no_match,,,,,,,,,,,,,search:bayburtoglu 2005 1980 sonrasi turk sinemasi yavuz turgul yayimlanmamis yuksek lisans tezi mimar sinan guzel sanatlar universitesi sosyal bilimler enstitusu istanbul,context,bayburtoglu 2005 1980 sonrasi turk sinemasi yavuz turgul yayimlanmamis yuksek lisans tezi mimar sinan guzel sanatlar universitesi sosyal bilimler enstitusu istanbul,"Bayburtoğlu, S. (2005). 1980 sonrası Türk sineması ve Yavuz Turgul. (Yayımlanmamış Yüksek Lisans Tezi). Mimar Sinan Güzel Sanatlar Üniversitesi Sosyal Bilimler Enstitüsü, İstanbul."
983,1200617,17899190,14,,no_match,,,,,,,,,,,,,search:forster wendler theorien und konzepte agilitat organisationen dresdner beitrage zur wirtschaftsinfor matik 2014,context,forster wendler theorien und konzepte agilitat organisationen dresdner beitrage zur wirtschaftsinfor matik 2014,"[14] Förster K, Wendler R. Theorien und Konzepte zu Agilität in Organisationen. In: Dresdner Beiträge zur Wirtschaftsinfor-matik. 2014; 12: 2-20."
984,1286710,21783979,45,,no_match,,,,,,,,,,,,,search:jandarma okulu subay kismi mufredat programi 1937 jandarma genel komutanligi matbaasi,context,jandarma okulu subay kismi mufredat programi 1937 jandarma genel komutanligi matbaasi,Jandarma Okulu Subay Kısmı müfredat programı. (1937). Jandarma Genel Komutanlığı Matbaası.
985,1286710,21783991,57,,no_match,,,,,,,,,,,,,search:ozanalp 1937 kaza jandarma komutani odevleri jandarma genel komutanligi matbaasi,context,ozanalp 1937 kaza jandarma komutani odevleri jandarma genel komutanligi matbaasi,"Ozanalp, O. (1937). Kaza Jandarma komutanı ve ödevleri. Jandarma Genel Komutanlığı Matbaası."
986,1286710,21783998,64,,no_match,,,,,,,,,,,,,search:piyer 1927 eskal alamat mahsusanin suret tavsif tespiti omer cev jandarma matbaasi 1911,context,piyer 1927 eskal alamat mahsusanin suret tavsif tespiti omer cev jandarma matbaasi 1911,"Piyer, C. (1927). Eşkal ve alâmat-ı mahsûsanın sûret-i tavsif ve tespiti. (R. Ömer, Çev.). Jandarma Matbaası. (1911)."
988,1289048,22678128,23,,no_match,,,,,,,,,,,,,search:erozan 2011 ahmet agaoglu nizamli hurriyet cumhuriyetci yorum denemesi dogu bati 197 225,context,erozan 2011 ahmet agaoglu nizamli hurriyet cumhuriyetci yorum denemesi dogu bati 197 225,"Erozan, B. (2011). Ahmet Ağaoğlu ve “Nizamlı Hürriyet”: Bir Cumhuriyetçi Yorum Denemesi. Doğu-Batı, (57), 197-225."
989,1378079,25706245,3,,no_match,10.5281/zenodo.4271552,An Overview of the Physiological and Pathological Role of Mast Cells in the Central Nervous System,Zenodo,2020,Text,https://zenodo.org/record/4271552,0.0023,0.0,0.0117,9,0.0,False,search:global regional national burden neurological disorders during 1990 2015 systematic global burden disease gbd 2015 lancet neurol,tei,global regional national burden neurological disorders during 1990 2015 systematic global burden disease gbd 2015 lancet neurol,"3.GBD 2015 Neurological Disorders Collaborator Group. Global, regional, and national burden of neurological disorders during 1990-2015: a systematic analysis for the Global Burden of Disease Study 2015. Lancet Neurol. 2017 Nov;16(11):877-897. [Crossref]"
993,1223040,18881958,21,,no_match,,,,,,,,,,,,,search:evren 1959 turk evinde cikma istanbul fakulteler matbaasi,context,evren 1959 turk evinde cikma istanbul fakulteler matbaasi,"Evren, M. (1959), Türk Evinde Çıkma, İstanbul: Fakülteler Matbaası."
994,1224282,19335287,30,,no_match,,,,,,,,,,,,,search:kilkelly 2001 ozel hayata aile hayatina saygi gosterilmesi hakki aihs nin maddesinin uygulanmasina iliskin klavuz insan haklari kitaplari strasbourg cedex avrupa konseyi yayinlari,context,kilkelly 2001 ozel hayata aile hayatina saygi gosterilmesi hakki aihs nin maddesinin uygulanmasina iliskin klavuz insan haklari kitaplari strasbourg cedex avrupa konseyi yayinlari,"Kilkelly, U. (2001). Özel Hayata ve Aile Hayatına Saygı Gösterilmesi Hakkı: AİHS’nin 8. Maddesinin Uygulanmasına İlişkin Klavuz. İnsan Hakları El Kitapları, No:1. Strasbourg, Cedex: Avrupa Konseyi Yayınları."
996,1351049,25225938,31,,no_match,,,,,,,,,,,,,search:saglikdunyasidergisi com asiri sicaklarda disarida calisan iki isci oldu agustos 2023 isci oldu 16110 html erisim tarihi mayis 2025,context,saglikdunyasidergisi com asiri sicaklarda disarida calisan iki isci oldu agustos 2023 isci oldu 16110 html erisim tarihi mayis 2025,"saglikdunyasidergisi.com, ‘Aşırı sıcaklarda dışarıda çalışan iki işçi öldü’ (https://www.saglikdunyasidergisi.com, 8 Ağustos 2023) <https://www.saglikdunyasidergisi.com/haber/asiri_sicaklarda_disarida_calisan_iki_ isci_oldu-16110.html> Erişim Tarihi 4 Mayıs 2025."
1002,1211991,18657343,2,,no_match,,,,,,,,,,,,,search:arendt hannah 2013 insanlik durumu istanbul iletisim yayinlari,context,arendt hannah 2013 insanlik durumu istanbul iletisim yayinlari,"Arendt, Hannah. 2013. İnsanlık Durumu. İstanbul: İletişim Yayınları."
1003,1211991,18657365,24,,no_match,,,,,,,,,,,,,search:taylor charles 2006 modern toplumsal tahayyuller cev hamide koyukan istanbul metis yayinlari turkiye istatistik kurumu tuik istatistiklerle kadin 2019,context,taylor charles 2006 modern toplumsal tahayyuller cev hamide koyukan istanbul metis yayinlari turkiye istatistik kurumu tuik istatistiklerle kadin 2019,"Taylor, Charles. 2006. Modern Toplumsal Tahayyüller. Çev. Hamide Koyukan. İstanbul: Metis Yayınları. Türkiye İstatistik Kurumu (TÜİK). “İstatistiklerle Kadın, 2019”."
1007,1189909,17316075,7,,no_match,,,,,,,,,,,,,search:arslan kacar der 2017 byzantion dan constantinopolis istanbul kusatmalari istanbul istanbul arastirmalari enstitusu,context,arslan kacar der 2017 byzantion dan constantinopolis istanbul kusatmalari istanbul istanbul arastirmalari enstitusu,"Arslan, M. ve Kaçar, T. (Der.). (2017). Byzantion’dan Constantinopolis’e İstanbul Kuşatmaları. İstanbul: İstanbul Araştırmaları Enstitüsü."
1008,1189909,17316108,40,,no_match,,,,,,,,,,,,,search:inalcik ari 2005 turk islam osmanli sehirciligi halil inalcik calismalari turkiye arastirmalari literatur,context,inalcik ari 2005 turk islam osmanli sehirciligi halil inalcik calismalari turkiye arastirmalari literatur,"İnalcık, H. ve Arı, B. (2005). “Türk-İslam-Osmanlı Şehirciliği ve Halil İnalcık'ın Çalışmaları”, Türkiye Araştırmaları Literatür Dergisi, 3(6), 27-56."
1010,1169118,16840764,28,,no_match,,,,,,,,,,,,,search:world health organization 2020 coronavirus disease covid spreads erisim adresi source coronaviruse situation reports 20200423 sitrep covid pdf,context,world health organization 2020 coronavirus disease covid spreads erisim adresi source coronaviruse situation reports 20200423 sitrep covid pdf,World Health Organization. (2020). Coronavirus disease (Covid-19) spreads. Erişim adresi:https://www.who.int/docs/default source/coronaviruse/situation-reports/20200423-sitrep-94-covid-19.pdf
1016,1280009,21413638,21,,no_match,,,,,,,,,,,,,search:akinci ucavs begin combat duty burkina faso uses turkish supplied drones hit militants reports sakshi tiwari euroasian times,tei,akinci ucavs begin combat duty burkina faso uses turkish supplied drones hit militants reports sakshi tiwari euroasian times,"21. Sakshi Tiwari, “Akinci UCAVs Begin Combat Duty; Burkina Faso Uses Turkish-Supplied Drones to Hit Militants – Reports,” The EuroAsian Times, (April 30, 2024) retrieved September 23, 2024, from https:// www.eurasiantimes.com/akinci-ucavs-begin-combat-duty-burkina/#:~:text=Burkina%20Faso%20received% 20five%20Bayraktar,Islam%20wal%20Muslimeen%20(JNI)."
1018,1364336,25205551,11,,no_match,,,,,,,,,,,,,search:eaton richard maxwell temple desecration muslim states medieval india gurgaon hope india 2004,context,eaton richard maxwell temple desecration muslim states medieval india gurgaon hope india 2004,"Eaton, Richard Maxwell. Temple Desecration and Muslim States in Medieval India. Gurgaon: Hope India, 2004."
1019,1364336,25205567,27,,no_match,,,,,,,,,,,,,search:constitiution india constitiution india fundamental rights,context,constitiution india constitiution india fundamental rights,"Constitiution of India, Constitiution of India. Fundamental Rights 12-35 (ts.)."
1021,1270447,20948084,19,,no_match,,,,,,,,,,,,,search:karaca saydam bozkurt hadimli can sogukpinar 2007 evaluation effects self care capacity healthy life style behaviors risky pregnant perinatal 131 139,context,karaca saydam bozkurt hadimli can sogukpinar 2007 evaluation effects self care capacity healthy life style behaviors risky pregnant perinatal 131 139,"Karaca Saydam, B., Bozkurt, O. D., Hadımlı, A. P., Can, H. O., & Soğukpınar, N. (2007). Evaluation of the effects of self-care capacity on healthy life style behaviors in risky pregnant. Perinatal Journal, 15(3), 131-139."
1023,1160014,16027351,8,,no_match,,,,,,,,,,,,,search:karaca 2013 modernlesme donemi turk romaninda evden kacan eve siginan kadinlar electronic turkish studies 1817 1827,context,karaca 2013 modernlesme donemi turk romaninda evden kacan eve siginan kadinlar electronic turkish studies 1817 1827,"Karaca, Ş. (2013). Modernleşme dönemi Türk romanında evden kaçan ve eve sığınan kadınlar. Electronic Turkish Studies, 8(1), 1817-1827."
1029,1384878,26637630,3,,no_match,,,,,,,,,,,,,search:foucault 2013 hapishanenin dogusu gozetim altinda tutmak cezalandirmak kilicbay cev imge yayinevi,context,foucault 2013 hapishanenin dogusu gozetim altinda tutmak cezalandirmak kilicbay cev imge yayinevi,"Foucault, M. (2013). Hapishanenin doğuşu: gözetim altında tutmak ve cezalandırmak. (M. A. Kılıçbay, Çev.). İmge Yayınevi."
1030,1384878,26637651,24,,no_match,,,,,,,,,,,,,search:zencirkiran 2017 sosyoloji dora yayincilik,context,zencirkiran 2017 sosyoloji dora yayincilik,"Zencirkıran, M. (2017). Sosyoloji. Dora Yayıncılık."
1031,1202014,17965268,1,,no_match,,,,,,,,,,,,,search:abdulcebbar ebu hasen kadi kudat abdulcebbar ahmed abdilcebbar hemedani mugni ebvabi tevhid adl thk mahmud muhammed kasim cilt misir daru kutubi misriyye 1953,context,abdulcebbar ebu hasen kadi kudat abdulcebbar ahmed abdilcebbar hemedani mugni ebvabi tevhid adl thk mahmud muhammed kasim cilt misir daru kutubi misriyye 1953,"Abdülcebbâr, Ebü’l-Hasen Kādı’l-kudât Abdülcebbâr b. Ahmed b. Abdilcebbâr el-Hemedânî. el-Muġnî fî ebvâbi’t-tevḥîd ve’l-ʿadl. thk. Mahmûd Muhammed Kasım. 16 Cilt. Mısır: Dâru’l-Kütübi’l-Mısriyye, 1953."
1032,1202014,17965281,14,,no_match,,,,,,,,,,,,,search:ebu davud suleyman sicistani sunenu ebi davud nsr ayb arnaut cilt dimask daru risaleti alemiyye 1430 2009,context,ebu davud suleyman sicistani sunenu ebi davud nsr ayb arnaut cilt dimask daru risaleti alemiyye 1430 2009,"Ebû Dâvûd, Suleymân b. el-Eşʿaŝ es-Sicistânî. Sunenu Ebî Dâvûd. nşr. Şuʿayb el-Arnaût. 6 Cilt. Dımaşk: Dâru'r- Risâleti'l-ʿÂlemiyye, 1430/2009."
1034,1221268,18820263,17,,no_match,,,,,,,,,,,,,search:halimi ebu abdullah huseyn hasen muhammed halim curcani minhac abi iman thk hilmi muhammed fude cilt 1399 1979,context,halimi ebu abdullah huseyn hasen muhammed halim curcani minhac abi iman thk hilmi muhammed fude cilt 1399 1979,"Halîmî, Ebû ʿAbdullâh Huseyn b. el-Hasen b. Muhammed b. Halîm el-Curcânî el-. el-Minhâc fî Şuʿabi’l-Îmân. thk. Hilmî Muhammed Fûde. 3 Cilt. b.y.: y.y., 1399/1979."
1035,1221268,18820275,29,,no_match,,,,,,,,,,,,,search:ibn abdulber nemeri ebu omer cemaluddin yusuf abdillah muhammed istizkar thk salim muhammed ata muhammed ali avvid cilt beyrut daru kutubi ilmiyye 1421 2000,context,ibn abdulber nemeri ebu omer cemaluddin yusuf abdillah muhammed istizkar thk salim muhammed ata muhammed ali avvid cilt beyrut daru kutubi ilmiyye 1421 2000,"İbn ʿAbdülber en-Nemerî, Ebû Ömer Cemâlüddîn Yûsuf b. ʿAbdillâh b. Muhammed. el-İstizkâr. thk. Sâlim Muhammed ʿAtâ, Muhammed ʿAlî Muʿavvıd. 9 Cilt. Beyrut: Dâru’l-Kutubi’l-ʿİlmiyye, 1421/2000."
1036,1221268,18820291,45,,no_match,,,,,,,,,,,,,search:safedi salahuddin halil aybek 764 1363 vafi vefeyat thk ahmed arnaut turki mustafa beyrut daru ihyai turas 2000,context,safedi salahuddin halil aybek 764 1363 vafi vefeyat thk ahmed arnaut turki mustafa beyrut daru ihyai turas 2000,"Safedî, Salâhuddîn Halil b. Aybek (ö. 764/1363) es-. el-Vâfî bi’l-vefeyât. thk. Ahmed el-Arnâût, Türkî Mustafa. Beyrut: Dâru İhyâi’t-Türâs, 2000."
1037,1240767,19704375,11,,no_match,,,,,,,,,,,,,search:duman 2020 yarasa corbasi koronavirus hakkinda modern cagin mitleri sehir efsaneleri milli folklor 127,context,duman 2020 yarasa corbasi koronavirus hakkinda modern cagin mitleri sehir efsaneleri milli folklor 127,"Duman, M. (2020). Yarasa çorbası: Koronavirüs hakkında modern çağın mitleri ve şehir efsaneleri. Millî Folklor, (127), 59-71."
1038,1240767,19704402,38,,no_match,,,,,,,,,,,,,search:titanik turist tasiyan denizalti kayboldu unlu ingiliz milyarder icinde 2023 haziran ntv milyarder icinde 8yfygbglae2ze1bz8pmraw,context,titanik turist tasiyan denizalti kayboldu unlu ingiliz milyarder icinde 2023 haziran ntv milyarder icinde 8yfygbglae2ze1bz8pmraw,"Titanik’e turist taşıyan denizaltı kayboldu: Ünlü İngiliz milyarder de içinde. (2023, 19 Haziran). NTV. https://www.ntv.com.tr/dunya/titanike-turist-tasiyan-denizalti-kayboldu-unlu-ingiliz- milyarder-de-icinde,8YFyGbglAE2ZE1bZ8pMRAw"
1040,1290206,22912814,1,,no_match,,,,,,,,,,,,,search:abdurrahman taha 2022 modernlik ruhu islami modernlik insasina giris masali masali cev pinar yayinlari,context,abdurrahman taha 2022 modernlik ruhu islami modernlik insasina giris masali masali cev pinar yayinlari,"Abdurrahman, Taha. (2022). Modernlik Ruhu: İslami Bir Modernlik İnşasına Giriş (M. E. Maşalı & M. Maşalı, Çev.). Pınar Yayınları."
1041,1290206,22912834,21,,no_match,,,,,,,,,,,,,search:ibn 1968 tabakatu kubra daru sadir,context,ibn 1968 tabakatu kubra daru sadir,İbn Sa’d. (1968). Et-Tabakatü’l-kübra (1-10). Dâru Sadır.
1045,1343218,24338928,70,,no_match,,,,,,,,,,,,,search:ozsait mehmet 2005 yili tokat ili zile turhal ilceleri yuzey arastirmasi arastirma sonuclari toplantisi ankara 2007 451 462,context,ozsait mehmet 2005 yili tokat ili zile turhal ilceleri yuzey arastirmasi arastirma sonuclari toplantisi ankara 2007 451 462,"(70) ÖZSAİT, Mehmet, “2005 Yılı Tokat İli, Zile ve Turhal İlçeleri Yüzey Araştırması”, 24. Araştırma Sonuçları Toplantısı, C: 2, Ankara 2007, ss. 451-462."
1048,1305653,23710885,9,,no_match,,,,,,,,,,,,,search:erdem akman 2002 gelisim ogrenme ankara arkadas yayinevi,context,erdem akman 2002 gelisim ogrenme ankara arkadas yayinevi,"Erdem, M., & Akman, Y. (2002). Gelişim ve öğrenme. Ankara: Arkadaş Yayınevi."
1052,1253092,20212272,43,,no_match,,,,,,,,,,,,,search:yildirim simsek 2016 sosyal bilimlerde nitel arastirma yontemleri baski ankara seckin yayincilik,context,yildirim simsek 2016 sosyal bilimlerde nitel arastirma yontemleri baski ankara seckin yayincilik,"Yıldırım, A. ve Şimşek, H. (2016). Sosyal bilimlerde nitel araştırma yöntemleri. 10. Baskı, Ankara: Seçkin Yayıncılık."
1059,1191520,17428516,3,,no_match,,,,,,,,,,,,,search:ayaz 2016 adolesanda psikososyal sorunlar ergenlik internet bagimliligi haspolat yuksel yolbas baski 139 154 istanbul cinius yayimlari,context,ayaz 2016 adolesanda psikososyal sorunlar ergenlik internet bagimliligi haspolat yuksel yolbas baski 139 154 istanbul cinius yayimlari,"Ayaz, M. F. (2016). Adolesanda psikososyal sorunlar. Ergenlik ve internet bağımlılığı. (Y. K. Haspolat, T. Yüksel ve İ. Yolbaş, Ed.). (1. Baskı). s.139-154 İstanbul: Cinius Yayımları."
1060,1191520,17428527,14,,no_match,,,,,,,,,,,,,search:ersoz 2020 yeni nesil web paradigmasi web bilgisayar bilimleri teknolojileri,context,ersoz 2020 yeni nesil web paradigmasi web bilgisayar bilimleri teknolojileri,"Ersöz, B. (2020). Yeni nesil web paradigması: Web 4.0. Bilgisayar Bilimleri ve Teknolojileri Dergisi, 1(2), 58-65."
1061,1191520,17428535,22,,no_match,,,,,,,,,,,,,search:karabulut 2015 bilgi toplumu caginda dijital yerliler gocmenler melezler pamukkale universitesi sosyal bilimler enstitusu,context,karabulut 2015 bilgi toplumu caginda dijital yerliler gocmenler melezler pamukkale universitesi sosyal bilimler enstitusu,"Karabulut, B. (2015). Bilgi toplumu çağinda dijital yerliler, göçmenler ve melezler. Pamukkale Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, (21), 11-23."
1063,1291586,22002426,19,,no_match,,,,,,,,,,,,,search:golpinarli abdulbaki 100 soruda tasavvuf istanbul gercek yayinevi 1985,context,golpinarli abdulbaki 100 soruda tasavvuf istanbul gercek yayinevi 1985,"Gölpınarlı, Abdülbakî. 100 Soruda Tasavvuf. İstanbul: Gerçek Yayınevi, 1985."
1064,1291586,22002460,53,,no_match,,,,,,,,,,,,,search:taberi ebu cafer muhammed cerir camiu beyan vili ayi kur kahire daru hicr 2001,context,taberi ebu cafer muhammed cerir camiu beyan vili ayi kur kahire daru hicr 2001,"Taberî, Ebu Cafer Muhammed b. Cerîr. Câmiu’l-beyân an te’vili âyi’l-Kur’ân. Kahire: Dâru Hicr, 2001."
1065,1291586,22002461,54,,no_match,,,,,,,,,,,,,search:tahanevi muhammed ali mevsuatu kessaf istilahati funun ulum thk ali dahruc beyrut mektebetu lubnan 1996,context,tahanevi muhammed ali mevsuatu kessaf istilahati funun ulum thk ali dahruc beyrut mektebetu lubnan 1996,"Tahânevî, Muhammed Ali. Mevsûatü Keşşâf ıstılahâti’l-fünûn ve’l-ulûm, thk. Ali Dahrûc. Beyrut: Mektebetü Lübnan, 1996."
1066,1310685,22787499,6,,no_match,,,,,,,,,,,,,search:bataille georges edebiyat kotuluk ceviren aysegul sonmezay istanbul ayrinti yayinlari 2004,context,bataille georges edebiyat kotuluk ceviren aysegul sonmezay istanbul ayrinti yayinlari 2004,"Bataille, Georges. Edebiyat ve Kötülük. Çeviren Ayşegül Sönmezay. İstanbul: Ayrıntı Yayınları, 2004."
1067,1310685,22787515,22,,no_match,,,,,,,,,,,,,search:ozkok seher beyaz lale negatif oteki nin soylemi eylemi uzerinden insa edilen milli bilinc gonen belediyesi dunden bugune omer seyfettin sempozyumu bildirileri icinde 125 130 balikesir gonen belediyesi yayinlari 2007,context,ozkok seher beyaz lale negatif oteki nin soylemi eylemi uzerinden insa edilen milli bilinc gonen belediyesi dunden bugune omer seyfettin sempozyumu bildirileri icinde 125 130 balikesir gonen belediyesi yayinlari 2007,"Özkök, Seher. “Beyaz Lâle: Negatif Öteki’nin Söylemi ve Eylemi Üzerinden İnşa Edilen Millî Bilinç.” T. C. Gönen Belediyesi 1. Dünden Bugüne Ömer Seyfettin Sempozyumu Bildirileri içinde, 125-130. Balıkesir: Gönen Belediyesi Yayınları, 2007."
1069,1328609,23748879,16,,no_match,,,,,,,,,,,,,search:cabuk 2013 finansal analiz teknikleri icinde once finansal tablolar analizi unite eskisehir anadolu universitesi yayinlari,context,cabuk 2013 finansal analiz teknikleri icinde once finansal tablolar analizi unite eskisehir anadolu universitesi yayinlari,"Çabuk, A. (2013), “Finansal Analiz Teknikleri”, içinde: S. Önce (ed.), Finansal Tablolar Analizi (Ünite 3), Eskişehir: Anadolu Üniversitesi Yayınları."
1070,1328609,23748898,35,,no_match,,,,,,,,,,,,,search:karadeniz iskenderoglu 2011 istanbul menkul kiymetler borsasi nda islem goren turizm isletmelerinin aktif karliligini etkileyen degiskenlerin analizi anatolia turizm arastirmalari,context,karadeniz iskenderoglu 2011 istanbul menkul kiymetler borsasi nda islem goren turizm isletmelerinin aktif karliligini etkileyen degiskenlerin analizi anatolia turizm arastirmalari,"Karadeniz, E. & Ö. İskenderoğlu (2011), “İstanbul menkul kıymetler borsası’nda işlem gören turizm işletmelerinin aktif karlılığını etkileyen değişkenlerin analizi”, Anatolia: Turizm Araştırmaları Dergisi, 22(1), 65-75."
1073,1224300,19337880,7,,no_match,,,,,,,,,,,,,search:bayrav 1999 dilbilimsel edebiyat elestirisi istanbul multilingual,context,bayrav 1999 dilbilimsel edebiyat elestirisi istanbul multilingual,"Bayrav, S. (1999). Dilbilimsel Edebiyat Eleştirisi. İstanbul: Multilingual."
1074,1224300,19337900,27,,no_match,,,,,,,,,,,,,search:kurnaz 2012 hayali bey divaninin tahlili ankara kurgan edebiyat yayinlari,context,kurnaz 2012 hayali bey divaninin tahlili ankara kurgan edebiyat yayinlari,"Kurnaz, C. (2012). Hayali Bey Divanının Tahlili. Ankara: Kurgan Edebiyat Yayınları."
1080,1368301,25371578,43,,no_match,,,,,,,,,,,,,search:sayar seyihoglu simsek sarac gunduz 2021 turkiye 1900 2021 yillari arasinda gorulen dogal afetler gunes celik edt 113 119,context,sayar seyihoglu simsek sarac gunduz 2021 turkiye 1900 2021 yillari arasinda gorulen dogal afetler gunes celik edt 113 119,"Sayar, S., Şeyihoğlu, A., Şimşek, P., Saraç, H., & Gündüz, A. (2021). Türkiye’de 1900-2021 yılları arasında görülen doğal afetler. İ. Güneş ve A.G. Çelik (Edt.), 4, 113-119."
1081,1368301,25371583,48,,no_match,,,,,,,,,,,,,search:sengun kucuksen 2019 afet yonetimi egitimi nicin gerekli erciyes universitesi sosyal bilimler enstitusu 193 211,context,sengun kucuksen 2019 afet yonetimi egitimi nicin gerekli erciyes universitesi sosyal bilimler enstitusu 193 211,"Şengün, H., & Küçükşen, M. (2019). Afet yönetimi eğitimi niçin gerekli?. Erciyes Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 33(46), 193-211."
1082,1368301,25371590,55,,no_match,,,,,,,,,,,,,search:yavas 2005 dogal afetler yonuyle turkiye belediyelerde kriz yonetimi orion yayinevi ankara,context,yavas 2005 dogal afetler yonuyle turkiye belediyelerde kriz yonetimi orion yayinevi ankara,"Yavaş, H. (2005). Doğal afetler yönüyle Türkiye’de belediyelerde kriz yönetimi, Orion Yayınevi, Ankara."
1083,1315860,23137666,8,,no_match,,,,,,,,,,,,,search:alp 2023 sinif ogretmenlerinin zeka oyunlarina yonelik tutumlarinin ogretim sureclerinde zeka oyunlarindan yararlanma durumlarinin incelenmesi yayimlanmamis yuksek lisans tezi ege universitesi ulusal tez merkezi,context,alp 2023 sinif ogretmenlerinin zeka oyunlarina yonelik tutumlarinin ogretim sureclerinde zeka oyunlarindan yararlanma durumlarinin incelenmesi yayimlanmamis yuksek lisans tezi ege universitesi ulusal tez merkezi,"Alp, G. B. (2023). Sınıf öğretmenlerinin zekâ oyunlarına yönelik tutumlarının ve öğretim süreçlerinde zekâ oyunlarından yararlanma durumlarının incelenmesi [Yayımlanmamış Yüksek Lisans Tezi, Ege Üniversitesi]. Ulusal Tez Merkezi."
1084,1315860,23137716,58,,no_match,,,,,,,,,,,,,search:sadik 2006 ilkogretim sinif satranc bilen ogrenciler satranc bilmeyen ogrencilerin dogal sayilara iliskin dort islem problem cozme basarilarinin karsilastirilmasi yayimlanmamis yuksek lisans tezi abant izzet baysal universitesi ulusal tez merkezi,context,sadik 2006 ilkogretim sinif satranc bilen ogrenciler satranc bilmeyen ogrencilerin dogal sayilara iliskin dort islem problem cozme basarilarinin karsilastirilmasi yayimlanmamis yuksek lisans tezi abant izzet baysal universitesi ulusal tez merkezi,"Sadık, R. (2006). İlköğretim 4. ve 5. sınıf satranç bilen öğrenciler ile satranç bilmeyen öğrencilerin doğal sayılara ilişkin dört işlem ve problem çözme başarılarının karşılaştırılması [Yayımlanmamış Yüksek Lisans Tezi, Abant İzzet Baysal Üniversitesi]. Ulusal Tez Merkezi."
1085,1315860,23137717,59,,no_match,,,,,,,,,,,,,search:sadik 2018 ogretmen adaylarinin satranc oyununa yonelik tutumlarinin incelenmesi devecioglu uluslararasi beden egitimi spor rekreasyon dans kongresi 258 264 icinde asos yayinevi,context,sadik 2018 ogretmen adaylarinin satranc oyununa yonelik tutumlarinin incelenmesi devecioglu uluslararasi beden egitimi spor rekreasyon dans kongresi 258 264 icinde asos yayinevi,"Sadık, R. (2018). Öğretmen adaylarının satranç oyununa yönelik tutumlarının incelenmesi. S. Devecioğlu (Ed.), 1. Uluslararası Beden Eğitimi, Spor, Rekreasyon ve Dans Kongresi (ss. 258-264) içinde. Asos Yayınevi."
1088,1260416,20920036,83,,no_match,,,,,,,,,,,,,search:yilmazel 2021 ortaokul ogrencilerinin isi sicaklik konusundaki kavram yanilgilarini gidermede probleme dayali ogrenme yonteminin etkisi yayimlanmamis yuksek lisans tezi mersin universitesi egitim bilimleri enstitusu mersin,context,yilmazel 2021 ortaokul ogrencilerinin isi sicaklik konusundaki kavram yanilgilarini gidermede probleme dayali ogrenme yonteminin etkisi yayimlanmamis yuksek lisans tezi mersin universitesi egitim bilimleri enstitusu mersin,"Yılmazel, A. (2021). Ortaokul öğrencilerinin ısı ve sıcaklık konusundaki kavram yanılgılarını gidermede probleme dayalı öğrenme yönteminin etkisi (Yayımlanmamış yüksek lisans tezi). Mersin Üniversitesi, Eğitim Bilimleri Enstitüsü, Mersin."
1092,1375848,25643403,40,,no_match,,,,,,,,,,,,,search:iifa international islamic fiqh academy resolutions erisim nisan 2022,context,iifa international islamic fiqh academy resolutions erisim nisan 2022,"IIFA, International Islamic Fiqh Academy. “Resolutions”. Erişim Nisan 2022. https://iifa-aifi.org/en/resolutions"
1094,1214482,18901332,4,,no_match,,,,,,,,,,,,,search:bauman 2018 kapimizdaki yabancilar barca cev ayrinti yayinlari,context,bauman 2018 kapimizdaki yabancilar barca cev ayrinti yayinlari,"Bauman, Z. (2018). Kapımızdaki yabancılar. (E. Barca, Çev.) Ayrıntı Yayınları."
1095,1214482,18901352,24,,no_match,,,,,,,,,,,,,search:iom turkiye tarih yok adresinden alindi,context,iom turkiye tarih yok adresinden alindi,IOM Türkiye. (tarih yok). https://turkiye.iom.int/tr/yeniden-yerlestirme. adresinden alındı
1096,1214482,18901354,26,,no_match,,,,,,,,,,,,,search:koyuncu 2011 anadolu kentlerine goc konya ornegi nevsehir haci bektas veli universitesi sbe 130 145,context,koyuncu 2011 anadolu kentlerine goc konya ornegi nevsehir haci bektas veli universitesi sbe 130 145,"Koyuncu, A. (2011). Anadolu kentlerine göç: Konya örneği. Nevşehir Hacı Bektaş Veli Üniversitesi SBE Dergisi, 1(1), s. 130-145."
1097,1253831,20246248,11,,no_match,,,,,,,,,,,,,search:web science accessed march 2023 webofscience com wos author search,context,web science accessed march 2023 webofscience com wos author search,"11. Web of Science. Accessed March 1, 2023. https://www. webofscience.com/wos/author/search"
1100,1281361,21490062,53,,no_match,,,,,,,,,,,,,search:duration breastfeeding young women psychological influences bailey 2008 midwif,tei,duration breastfeeding young women psychological influences bailey 2008 midwif,"54. İnce OT, Kondolot M, Yalçın SS. Büyümenin izlenmesi ve büyüme duraklaması. Turk Çocuk Hastalıkları Derg. 2011;5(3):181-192."
